DateTime,Shot Type,PowerPlay,XLocation,YLocation
2015-01-21T00:00:00Z,Slap Shot,FALSE,-60,-23
2015-01-29T01:00:00Z,Tip-In,TRUE,-76,-1
2015-01-29T01:00:00Z,Slap Shot,FALSE,52,24
2015-02-01T18:00:00Z,Slap Shot,FALSE,-61,-14
2015-02-01T18:00:00Z,Snap Shot,TRUE,62,8
2015-02-06T00:30:00Z,Wrist Shot,TRUE,84,-1
2015-02-08T20:00:00Z,Wrist Shot,FALSE,71,18
2015-02-15T03:00:00Z,Slap Shot,TRUE,66,30
2015-02-16T01:00:00Z,Slap Shot,TRUE,-57,13
2015-02-16T01:00:00Z,Slap Shot,FALSE,-56,-26
2015-02-18T00:00:00Z,Backhand,FALSE,-81,-5
2015-02-20T00:00:00Z,Wrist Shot,TRUE,-71,-3
2015-02-26T01:00:00Z,Slap Shot,FALSE,-36,-7
2015-03-02T00:00:00Z,Snap Shot,TRUE,-69,-1
2015-03-02T00:00:00Z,Backhand,TRUE,76,3
2015-03-04T00:00:00Z,Deflected,TRUE,73,-8
2015-03-04T00:00:00Z,Snap Shot,FALSE,67,-3
2015-03-08T00:00:00Z,Wrist Shot,FALSE,61,27
2015-03-12T00:00:00Z,Slap Shot,FALSE,-38,-16
2015-03-20T00:00:00Z,Wrist Shot,TRUE,-74,9
2015-03-20T00:00:00Z,Snap Shot,TRUE,55,-21
2015-03-29T19:00:00Z,Wrist Shot,TRUE,64,19
2015-03-29T19:00:00Z,Slap Shot,FALSE,-58,-24
2015-03-31T23:00:00Z,Snap Shot,TRUE,-54,-5
2015-04-02T23:30:00Z,Wrist Shot,FALSE,-63,-14
2015-04-02T23:30:00Z,Wrist Shot,FALSE,78,17
2015-04-11T16:30:00Z,Slap Shot,FALSE,59,20
2015-04-17T23:00:00Z,Wrist Shot,TRUE,76,10
2015-04-21T23:30:00Z,Tip-In,TRUE,34,-25
2015-04-30T23:30:00Z,Snap Shot,FALSE,52,25
2015-05-02T16:30:00Z,Snap Shot,TRUE,71,-16
2015-05-13T23:30:00Z,Snap Shot,TRUE,75,-2
2015-09-24T23:30:00Z,Wrist Shot,FALSE,71,11
2015-09-30T23:00:00Z,Snap Shot,TRUE,-78,5
2015-10-02T23:00:00Z,Wrist Shot,TRUE,68,-3
2015-10-04T21:00:00Z,Slap Shot,FALSE,-55,-23
2015-10-04T21:00:00Z,Slap Shot,FALSE,62,28
2015-10-10T23:00:00Z,Wrist Shot,TRUE,-82,-7
2015-10-15T23:00:00Z,Wrist Shot,TRUE,-77,-14
2015-10-17T23:00:00Z,Wrist Shot,TRUE,-67,1
2015-10-21T01:00:00Z,Backhand,TRUE,-87,-4
2015-10-23T02:00:00Z,Slap Shot,TRUE,68,9
2015-11-04T00:00:00Z,Snap Shot,TRUE,81,8
2015-11-06T00:00:00Z,Wrist Shot,TRUE,-78,8
2015-11-08T00:00:00Z,Backhand,FALSE,79,10
2015-11-08T00:00:00Z,Wrist Shot,TRUE,-85,9
2015-11-20T00:00:00Z,Wrist Shot,TRUE,-69,-1
2015-11-22T00:00:00Z,Snap Shot,TRUE,-66,14
2015-11-26T00:00:00Z,Wrist Shot,FALSE,-76,-16
2015-11-27T22:00:00Z,Wrist Shot,FALSE,-61,-16
2015-12-09T00:30:00Z,Wrist Shot,FALSE,-84,-7
2015-12-11T00:30:00Z,Slap Shot,TRUE,69,22
2015-12-19T00:00:00Z,Snap Shot,FALSE,71,18
2015-12-19T00:00:00Z,Wrist Shot,FALSE,-77,1
2015-12-21T00:00:00Z,Snap Shot,FALSE,-74,-21
2015-12-29T00:00:00Z,Wrist Shot,TRUE,79,0
2015-12-31T00:00:00Z,Backhand,TRUE,-86,-7
2015-12-31T00:00:00Z,Wrist Shot,TRUE,-79,1
2015-12-31T23:00:00Z,Snap Shot,TRUE,78,-10
2016-01-08T00:00:00Z,Wrist Shot,TRUE,65,-19
2016-01-09T18:00:00Z,Wrist Shot,FALSE,82,9
2016-01-09T18:00:00Z,Wrist Shot,TRUE,-73,1
2016-01-11T00:00:00Z,Wrist Shot,FALSE,57,19
2016-01-11T00:00:00Z,Wrist Shot,TRUE,-76,-1
2016-01-17T22:00:00Z,Wrist Shot,FALSE,-56,-15
2016-01-20T00:00:00Z,Snap Shot,FALSE,-63,-22
2016-02-05T00:30:00Z,Slap Shot,TRUE,-57,-1
2016-02-06T18:00:00Z,Backhand,TRUE,-82,-8
2016-02-07T17:00:00Z,Tip-In,TRUE,75,3
2016-02-10T01:00:00Z,Wrist Shot,FALSE,-75,1
2016-02-12T01:00:00Z,Wrist Shot,TRUE,-67,-12
2016-02-12T01:00:00Z,Wrist Shot,FALSE,-84,-3
2016-02-12T01:00:00Z,Wrist Shot,TRUE,-78,4
2016-02-14T01:00:00Z,Slap Shot,FALSE,69,22
2016-02-19T00:00:00Z,Wrist Shot,TRUE,-77,12
2016-02-19T00:00:00Z,Snap Shot,FALSE,-59,-15
2016-02-21T00:00:00Z,Wrist Shot,TRUE,-78,-9
2016-02-23T00:00:00Z,Wrist Shot,TRUE,-60,-28
2016-02-27T00:00:00Z,Slap Shot,FALSE,-67,-29
2016-03-03T00:00:00Z,Slap Shot,TRUE,-68,-18
2016-03-15T23:00:00Z,Wrist Shot,TRUE,71,-9
2016-03-22T23:30:00Z,Snap Shot,FALSE,-77,-8
2016-03-31T00:00:00Z,Snap Shot,FALSE,60,27
2016-04-02T01:00:00Z,Snap Shot,FALSE,-87,-5
2016-04-05T23:00:00Z,Wrist Shot,TRUE,-79,35
2016-04-05T23:00:00Z,Wrist Shot,TRUE,-78,8
2016-04-10T00:00:00Z,Wrist Shot,TRUE,-82,-14
2016-04-10T00:00:00Z,Wrist Shot,TRUE,-65,1
2016-04-10T00:00:00Z,Slap Shot,TRUE,-83,-16
2016-04-16T23:00:00Z,Slap Shot,FALSE,60,20
2016-04-18T23:00:00Z,Snap Shot,TRUE,-46,15
2016-04-18T23:00:00Z,Slap Shot,FALSE,54,21
2016-05-03T00:00:00Z,Wrist Shot,TRUE,-52,-25
